"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Unidentified Counties, NV"	"32999"	24	3510	6.84
	"Hillsborough County, NH"	"33011"	18	4144	4.34 (Unreliable)
	"Unidentified Counties, NH"	"33999"	16	5201	3.08 (Unreliable)
	"Atlantic County, NJ"	"34001"	18	2797	6.44 (Unreliable)
	"Bergen County, NJ"	"34003"	16	9152	1.75 (Unreliable)
	"Burlington County, NJ"	"34005"	16	4365	3.67 (Unreliable)
	"Camden County, NJ"	"34007"	27	6157	4.39
	"Essex County, NJ"	"34013"	56	10425	5.37
	"Gloucester County, NJ"	"34015"	14	2762	5.07 (Unreliable)
	"Hudson County, NJ"	"34017"	24	10234	2.35
	"Mercer County, NJ"	"34021"	22	3999	5.50
	"Middlesex County, NJ"	"34023"	39	8872	4.40
	"Monmouth County, NJ"	"34025"	21	5888	3.57
	"Morris County, NJ"	"34027"	13	4487	2.90 (Unreliable)
	"Ocean County, NJ"	"34029"	24	9015	2.66
	"Passaic County, NJ"	"34031"	32	6542	4.89
	"Somerset County, NJ"	"34035"	10	3210	3.12 (Unreliable)
	"Union County, NJ"	"34039"	28	6777	4.13
	"Unidentified Counties, NJ"	"34999"	24	6541	3.67
	"Bernalillo County, NM"	"35001"	41	7078	5.79
	"Unidentified Counties, NM"	"35999"	90	15961	5.64
	"Bronx County, NY"	"36005"	86	20121	4.27
	"Dutchess County, NY"	"36027"	14	2549	5.49 (Unreliable)
	"Erie County, NY"	"36029"	65	9812	6.62
	"Kings County, NY"	"36047"	132	38574	3.42
	"Monroe County, NY"	"36055"	50	7772	6.43
	"Nassau County, NY"	"36059"	41	14128	2.90
	"New York County, NY"	"36061"	41	17020	2.41
	"Onondaga County, NY"	"36067"	33	5236	6.30
	"Orange County, NY"	"36071"	19	5065	3.75 (Unreliable)
	"Queens County, NY"	"36081"	103	28042	3.67
	"Richmond County, NY"	"36085"	24	5186	4.63
	"Rockland County, NY"	"36087"	13	5719	2.27 (Unreliable)
	"Suffolk County, NY"	"36103"	62	15278	4.06
	"Westchester County, NY"	"36119"	48	10091	4.76
	"Unidentified Counties, NY"	"36999"	238	38759	6.14
	"Cumberland County, NC"	"37051"	36	5401	6.67
	"Durham County, NC"	"37063"	24	4152	5.78
	"Forsyth County, NC"	"37067"	34	4330	7.85
	"Guilford County, NC"	"37081"	51	6115	8.34
	"Mecklenburg County, NC"	"37119"	78	14650	5.32
	"Wake County, NC"	"37183"	67	12578	5.33
	"Unidentified Counties, NC"	"37999"	513	71728	7.15
	"Unidentified Counties, ND"	"38999"	60	10636	5.64
	"Butler County, OH"	"39017"	37	4472	8.27
	"Cuyahoga County, OH"	"39035"	121	13870	8.72
	"Franklin County, OH"	"39049"	140	18338	7.63
	"Hamilton County, OH"	"39061"	96	10835	8.86
	"Lorain County, OH"	"39093"	21	3199	6.56
	"Lucas County, OH"	"39095"	40	5418	7.38
	"Montgomery County, OH"	"39113"	46	6480	7.10
	"Stark County, OH"	"39151"	26	4075	6.38
	"Summit County, OH"	"39153"	42	5934	7.08
	"Unidentified Counties, OH"	"39999"	368	62513	5.89
	"Cleveland County, OK"	"40027"	18	2833	6.35 (Unreliable)
	"Oklahoma County, OK"	"40109"	76	11255	6.75
	"Tulsa County, OK"	"40143"	65	8933	7.28
	"Unidentified Counties, OK"	"40999"	195	26779	7.28
	"Clackamas County, OR"	"41005"	12	3886	3.09 (Unreliable)
	"Lane County, OR"	"41039"	14	3327	4.21 (Unreliable)
	"Marion County, OR"	"41047"	21	4183	5.02
	"Multnomah County, OR"	"41051"	35	8211	4.26
	"Washington County, OR"	"41067"	21	6425	3.27
	"Unidentified Counties, OR"	"41999"	75	16156	4.64
	"Allegheny County, PA"	"42003"	71	12822	5.54
	"Berks County, PA"	"42011"	27	4602	5.87
	"Bucks County, PA"	"42017"	26	5714	4.55
	"Chester County, PA"	"42029"	16	5370	2.98 (Unreliable)
	"Dauphin County, PA"	"42043"	24	3397	7.07
	"Delaware County, PA"	"42045"	38	6453	5.89
	"Erie County, PA"	"42049"	19	2788	6.81 (Unreliable)
	"Lancaster County, PA"	"42071"	39	6975	5.59
	"Lehigh County, PA"	"42077"	24	4352	5.51
	"Luzerne County, PA"	"42079"	20	3310	6.04
	"Montgomery County, PA"	"42091"	42	8515	4.93
	"Northampton County, PA"	"42095"	16	2909	5.50 (Unreliable)
	"Philadelphia County, PA"	"42101"	168	20691	8.12
	"Westmoreland County, PA"	"42129"	14	2849	4.91 (Unreliable)
	"York County, PA"	"42133"	30	4707	6.37
	"Unidentified Counties, PA"	"42999"	231	40219	5.74
	"Providence County, RI"	"44007"	40	7119	5.62
	"Unidentified Counties, RI"	"44999"	12	3387	3.54 (Unreliable)
	"Charleston County, SC"	"45019"	28	4861	5.76
	"Greenville County, SC"	"45045"	42	6225	6.75
	"Horry County, SC"	"45051"	25	3153	7.93
	"Lexington County, SC"	"45063"	23	3224	7.13
	"Richland County, SC"	"45079"	39	4693	8.31
	"Spartanburg County, SC"	"45083"	16	3855	4.15 (Unreliable)
	"Unidentified Counties, SC"	"45999"	230	30658	7.50
	"Unidentified Counties, SD"	"46999"	70	11893	5.89
	"Davidson County, TN"	"47037"	70	9984	7.01
	"Hamilton County, TN"	"47065"	25	4249	5.88
	"Knox County, TN"	"47093"	28	5156	5.43
	"Rutherford County, TN"	"47149"	34	4148	8.20
	"Shelby County, TN"	"47157"	113	13124	8.61
	"Unidentified Counties, TN"	"47999"	285	44090	6.46
	"Bell County, TX"	"48027"	31	5889	5.26
	"Bexar County, TX"	"48029"	184	26562	6.93
	"Brazoria County, TX"	"48039"	25	4734	5.28
	"Cameron County, TX"	"48061"	26	6306	4.12
	"Collin County, TX"	"48085"	45	11147	4.04
	"Dallas County, TX"	"48113"	223	38182	5.84
	"Denton County, TX"	"48121"	36	9857	3.65
	"El Paso County, TX"	"48141"	37	11721	3.16
	"Fort Bend County, TX"	"48157"	30	9375	3.20
	"Galveston County, TX"	"48167"	20	3957	5.05
	"Harris County, TX"	"48201"	409	67095	6.10
	"Hidalgo County, TX"	"48215"	62	14185	4.37
	"Jefferson County, TX"	"48245"	28	3468	8.07
	"Lubbock County, TX"	"48303"	31	3896	7.96
