"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","WPR","WB_LMI","VNM","5.10","5.10000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","WPR","WB_LMI","VNM","5.39","5.39000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2001","EMR","WB_LI","YEM","4.95","4.95000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2002","EMR","WB_LI","YEM","4.83","4.83000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","EMR","WB_LI","YEM","5.76","5.76000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","EMR","WB_LI","YEM","5.51","5.51000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2002","AFR","WB_LMI","ZMB","6.79","6.79000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","AFR","WB_LMI","ZMB","7.19","7.19000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","AFR","WB_LMI","ZMB","7.05","7.05000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","AFR","WB_LMI","ZMB","6.86","6.86000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2018","AFR","WB_LMI","ZMB","4.93","4.93000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","AFR","WB_LMI","ZWE","10.48","10.48000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2011","AFR","WB_LMI","ZWE","8.08","8.08000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2012","AFR","WB_LMI","ZWE","6.92","6.92000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2013","AFR","WB_LMI","ZWE","7.11","7.11000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2013","EMR","WB_LMI","SDN","6.96","6.96000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2007","AMR","WB_UMI","SUR","5.59","5.59000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2008","AMR","WB_UMI","SUR","5.08","5.08000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2009","AMR","WB_UMI","SUR","5.33","5.33000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","AMR","WB_UMI","SUR","5.03","5.03000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2011","AMR","WB_UMI","SUR","4.72","4.72000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","EUR","WB_HI","SWE","8.15","8.15000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","EUR","WB_HI","SWE","8.05","8.05000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2007","EUR","WB_HI","SWE","7.99","7.99000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2008","EUR","WB_HI","SWE","8.21","8.21000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","EUR","WB_HI","CHE","10.40","10.40000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","EUR","WB_HI","CHE","10.48","10.48000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","EUR","WB_HI","CHE","10.29","10.29000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","EUR","WB_HI","CHE","9.82","9.82000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2001","EMR","WB_LI","SYR","4.49","4.49000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2002","EMR","WB_LI","SYR","4.52","4.52000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","EMR","WB_LI","SYR","5.12","5.12000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","EMR","WB_LI","SYR","4.48","4.48000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","EUR","WB_LI","TJK","4.80","4.80000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","EUR","WB_LI","TJK","5.21","5.21000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","EUR","WB_LI","TJK","5.03","5.03000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2007","EUR","WB_LI","TJK","5.54","5.54000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2002","SEAR","WB_UMI","THA","3.33","3.33000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","SEAR","WB_UMI","THA","3.24","3.24000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","SEAR","WB_UMI","THA","3.14","3.14000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","SEAR","WB_UMI","THA","3.16","3.16000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","SEAR","WB_LMI","TLS","2.56","2.56000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","SEAR","WB_LMI","TLS","1.74","1.74000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2005","SEAR","WB_LMI","TLS","1.34","1.34000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","SEAR","WB_LMI","TLS","1.03","1.03000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2000","AFR","WB_LI","TGO","3.31","3.31000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2001","AFR","WB_LI","TGO","3.42","3.42000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2002","AFR","WB_LI","TGO","3.45","3.45000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","AFR","WB_LI","TGO","3.50","3.50000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","AFR","WB_LI","TGO","3.69","3.69000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2017","AFR","WB_LI","TGO","6.02","6.02000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2018","AFR","WB_LI","TGO","6.17","6.17000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2000","WPR","WB_UMI","TON","2.93","2.93000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2001","WPR","WB_UMI","TON","3.34","3.34000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2015","WPR","WB_UMI","TON","4.58","4.58000","","",""
