"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","SLE","","","URB","","56.2","56.23000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","SLE","","","URB","","58.9","58.88000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","SEAR","","TLS","","","RUR","","16.7","16.73000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","AFR","","UGA","","","RUR","","41.0","40.96000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","UGA","","","RUR","","41.5","41.48000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","EUR","","UKR","","","URB","","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","TZA","","","RUR","","46.1","46.11000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","ZMB","","","URB","","85.2","85.21000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","ZWE","","","RUR","","61.6","61.59000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","EUR","","ALB","","","","WQ1","96.1","96.11000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","EUR","","ALB","","","","WQ3","98.9","98.87000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EUR","","ALB","","","","WQ3","98.4","98.42000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EUR","","ALB","","","","WQ5","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","EUR","","ARM","","","","WQ3","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","EUR","","ARM","","","","WQ5","100.0","100.00000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","EUR","","ARM","","","","WQ5","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","EUR","","AZE","","","","WQ1","71.3","71.34000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EUR","","AZE","","","","WQ3","83.1","83.13000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EUR","","AZE","","","","WQ5","97.5","97.48000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","BGD","","","","WQ5","55.9","55.87000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","SEAR","","BGD","","","","WQ2","11.9","11.93000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","BEN","","","","WQ2","73.1","73.10000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","BEN","","","","WQ4","93.0","92.97000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AMR","","BOL","","","","WQ2","72.2","72.25000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AMR","","BOL","","","","WQ4","94.5","94.52000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","WPR","","KHM","","","","WQ4","37.8","37.83000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","WPR","","KHM","","","","WQ1","13.6","13.57000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","WPR","","KHM","","","","WQ1","50.5","50.53000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","WPR","","KHM","","","","WQ3","66.6","66.63000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","WPR","","KHM","","","","WQ5","92.3","92.34000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AMR","","COL","","","","WQ4","99.6","99.57000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AFR","","COG","","","","WQ3","90.2","90.22000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AFR","","COG","","","","WQ5","98.7","98.72000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","COD","","","","WQ2","59.6","59.55000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","COD","","","","WQ4","86.9","86.86000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AMR","","DOM","","","","WQ2","99.6","99.60000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AMR","","DOM","","","","WQ4","100.0","99.99000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","EMR","","EGY","","","","WQ5","95.2","95.25000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EMR","","EGY","","","","WQ2","62.2","62.21000","","",""
"pncall5","EQ_DHS","PUBLISHED","2011","AFR","","ETH","","","","WQ2","3.5","3.52000","","",""
"pncall5","EQ_DHS","PUBLISHED","2011","AFR","","ETH","","","","WQ4","8.3","8.33000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","GHA","","","","WQ4","83.1","83.09000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","GHA","","","","WQ1","31.6","31.58000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","AMR","","GUY","","","","WQ2","97.2","97.20000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","AMR","","GUY","","","","WQ4","98.8","98.75000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AMR","","HTI","","","","WQ2","15.7","15.69000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AMR","","HTI","","","","WQ4","41.6","41.62000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AMR","","HND","","","","WQ1","40.4","40.35000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AMR","","HND","","","","WQ3","82.0","81.98000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","AMR","","HND","","","","WQ5","98.7","98.73000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","SEAR","","IND","","","","WQ2","26.2","26.18000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","SEAR","","IND","","","","WQ4","61.3","61.30000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","IDN","","","","WQ3","59.3","59.32000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","IDN","","","","WQ5","87.8","87.85000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","EMR","","JOR","","","","WQ2","99.0","99.00000","","",""
