Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Saint Lucia,Number of births,Total,2018,2.184,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Saint Vincent and the Grenadines,Number of births,Total,2018,1.569,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Samoa,Number of births,Total,2018,4.794,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
San Marino,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Sao Tome and Principe,Number of births,Total,2018,6.666,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Saudi Arabia,Number of births,Total,2018,598.003,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Senegal,Number of births,Total,2018,547.821,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Serbia,Number of births,Total,2018,83.192,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Seychelles,Number of births,Total,2018,1.607,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Sierra Leone,Number of births,Total,2018,255.915,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Singapore,Number of births,Total,2018,50.256,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Slovakia,Number of births,Total,2018,56.728,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Slovenia,Number of births,Total,2018,20.071,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Solomon Islands,Number of births,Total,2018,21.174,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Somalia,Number of births,Total,2018,628.805,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
South Africa,Number of births,Total,2018,1183.984,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
South Sudan,Number of births,Total,2018,386.9,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
