GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,WEALTHDECILE,Display Value,Numeric,Low,High,Comments
imr,EQ_MICS,PUBLISHED,2014,AFR,STP,,,,,,WEALTHDECILE04,49.1 [28.7-82.9],49.12924,28.68379,82.90408,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_MICS,PUBLISHED,2014,AFR,STP,,,,,,WEALTHDECILE05,44.0 [26.6-72.1],44.01415,26.55353,72.10575,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_MICS,PUBLISHED,2014,AFR,STP,,,,,,WEALTHDECILE06,22.4 [9.5-51.9],22.4077,9.50778,51.89295,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_MICS,PUBLISHED,2014,AFR,STP,,,,,,WEALTHDECILE07,27.5 [11.2-66.2],27.51179,11.17097,66.15659,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_DHS,PUBLISHED,1997,AFR,SEN,,,,,,WEALTHDECILE03,83.1 [68.5-100.5],83.09028,68.4683,100.49802,
imr,EQ_DHS,PUBLISHED,1997,AFR,SEN,,,,,,WEALTHDECILE04,79.8 [65.6-96.8],79.82953,65.63582,96.77473,
imr,EQ_DHS,PUBLISHED,1997,AFR,SEN,,,,,,WEALTHDECILE05,81.4 [64.0-102.9],81.36272,63.9859,102.93964,
imr,EQ_DHS,PUBLISHED,1997,AFR,SEN,,,,,,WEALTHDECILE06,58.3 [46.9-72.3],58.28723,46.88317,72.25498,
imr,EQ_DHS,PUBLISHED,2005,AFR,SEN,,,,,,WEALTHDECILE10,36.2 [24.1-54.1],36.24052,24.12029,54.11336,
imr,EQ_DHS,PUBLISHED,2005,AFR,SEN,,,,,,WEALTHDECILE02,83.9 [72.1-97.3],83.87234,72.11264,97.34855,
imr,EQ_DHS,PUBLISHED,2005,AFR,SEN,,,,,,WEALTHDECILE03,85.8 [72.3-101.4],85.75773,72.34766,101.38177,
imr,EQ_DHS,PUBLISHED,2005,AFR,SEN,,,,,,WEALTHDECILE04,83.6 [71.2-98.0],83.6486,71.23914,97.99164,
imr,EQ_DHS,PUBLISHED,2005,AFR,SEN,,,,,,WEALTHDECILE05,81.1 [66.0-99.3],81.0797,65.97707,99.27199,
imr,EQ_DHS,PUBLISHED,2010,AFR,SEN,,,,,,WEALTHDECILE09,50.2 [35.4-70.9],50.23779,35.37409,70.88802,
imr,EQ_DHS,PUBLISHED,2012,AFR,SEN,,,,,,WEALTHDECILE01,59.5 [46.9-75.1],59.49039,46.93146,75.14513,
imr,EQ_DHS,PUBLISHED,2012,AFR,SEN,,,,,,WEALTHDECILE10,26.2 [10.3-65.0],26.24099,10.33544,65.01603,
imr,EQ_DHS,PUBLISHED,2012,AFR,SEN,,,,,,WEALTHDECILE02,44.0 [34.0-56.7],44.01517,34.03948,56.74265,
imr,EQ_DHS,PUBLISHED,2012,AFR,SEN,,,,,,WEALTHDECILE03,53.5 [41.3-69.1],53.54951,41.32487,69.12965,
imr,EQ_DHS,PUBLISHED,2014,AFR,SEN,,,,,,WEALTHDECILE08,36.9 [25.4-53.1],36.85616,25.44744,53.101,
imr,EQ_DHS,PUBLISHED,2014,AFR,SEN,,,,,,WEALTHDECILE09,26.6 [13.7-51.2],26.64379,13.68629,51.23159,
imr,EQ_DHS,PUBLISHED,2015,AFR,SEN,,,,,,WEALTHDECILE01,47.9 [37.9-60.5],47.92271,37.87918,60.46191,
imr,EQ_DHS,PUBLISHED,2015,AFR,SEN,,,,,,WEALTHDECILE10,43.8 [22.5-83.3],43.76606,22.52902,83.31589,
