Country,cia.gov_IMR,Original_IMR,OriginalDoseNum,CalculatedDoseNum,UsedByOriginalStudy
Ukraine,8.98,,,18,0
Kuwait,8.96,,,19,0
Costa Rica,8.77,,,21,0
Latvia,8.77,,,19,0
Hungary,7.86,,,16,0
Chile,7.71,,,19,0
Estonia,7.32,,,19,0
Slovakia,6.84,,,19,0
Poland,6.8,,,18,0
Serbia,6.75,,,19,0
Cyprus,6.6,,,21,0
Lithuania,6.47,,,19,0
Belarus,6.43,,,16,0
Croatia,6.37,,,19,0
United States,6.26,6.22,26,22,1
Cuba,5.82,5.82,22,20,1
Italy,5.51,5.51,18,21,1
San Marino,5.34,5.53,,18,0
Greece,5.16,5.16,23,21,1
Ireland,5.05,5.05,23,23,1
Canada,5.04,5.04,24,20,1
Monaco,5,5,23,4,0
New Zealand,4.92,4.92,17,17,1
United Kingdom,4.85,4.85,19,19,1
Portugal,4.78,4.78,21,21,1
Australia,4.75,4.75,24,7,1
Netherlands,4.73,4.73,24,24,1
Luxembourg,4.56,4.56,22,23,1
Belgium,4.44,4.44,19,22,1
Austria,4.42,4.42,23,23,1
Denmark,4.34,4.34,12,12,1
"Korea, South",4.26,4.26,15,15,1
Liechtenstein,4.25,4.25,18,18,0
Slovenia,4.25,4.25,15,15,1
Israel,4.22,4.22,18,18,1
Spain,4.21,4.21,20,20,1
Switzerland,4.18,4.18,18,17,1
Germany,3.99,3.99,18,21,1
Czech Republic,3.79,3.79,19,19,1
Andorra,3.76,3.76,23,23,0
Malta,3.75,3.75,15,15,1
Norway,3.58,3.58,12,15,1
Finland,3.47,3.47,13,10,1
France,3.33,3.33,19,21,1
Iceland,3.23,3.23,12,12,1
Japan,2.79,2.79,12,12,1
Sweden,2.75,2.75,12,10,1
Singapore,2.31,2.31,17,16,1
