DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.99,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.247,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.774,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.518,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.857,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GAB: Gabon,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.969,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,5.219,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GEO: Georgia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.06,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DEU: Germany,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.585,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GHA: Ghana,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.87,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
